Jahr,Verarbeitendes Gewerbe (in kt),Verkehr gesamt (in kt),StraÃŸenverkehr (in kt),Haushalte und GHD gesamt (in kt),Haushalte (in kt),"Gewerbe, Handel, Dienstleistungen GHD (in kt)",CO2-Emissionen gesamt  (in kt)
2020,3702,3760,2989,6070,3165,2905,13532
2019,3956,4708,3313,6477,3451,3026,15140
2018,4220,4755,3294,6982,3600,3382,15957
2017,4630,4653,3333,7012,3509,3503,16294
2016,4661,4577,3287,7314,3637,3677,16552
2015,5135,4460,3198,7434,3593,3841,17029
2014,5388,4417,3178,7419,3657,3762,17224
2013,5224,4337,3165,8277,4056,4221,17839
2012,5848,4259,3033,8313,4030,4283,18419
2011,5714,4279,3045,8143,4052,4091,18136
2010,5899,4243,3065,8611,4245,4366,18753
2009,5442,4172,3013,8360,4159,4201,17974
2008,5835,4234,3019,8462,4284,4178,18531
